column,file_name
sn_satisfaction,sharew8_rel9-0-0_gv_networks.dta
sn_scale,sharew8_rel9-0-0_gv_networks.dta
social_integration,sharew8_rel9-0-0_gv_networks.dta
spousenet2,sharew8_rel9-0-0_gv_networks.dta
partner_var,sharew8_rel9-0-0_gv_networks.dta
famnet,sharew8_rel9-0-0_gv_networks.dta
childnet,sharew8_rel9-0-0_gv_networks.dta
siblingnet,sharew8_rel9-0-0_gv_networks.dta
parentnet,sharew8_rel9-0-0_gv_networks.dta
friendnet,sharew8_rel9-0-0_gv_networks.dta
formalnet,sharew8_rel9-0-0_gv_networks.dta
othernet,sharew8_rel9-0-0_gv_networks.dta
womennet,sharew8_rel9-0-0_gv_networks.dta
mennet,sharew8_rel9-0-0_gv_networks.dta
prx_mean,sharew8_rel9-0-0_gv_networks.dta
most_prx,sharew8_rel9-0-0_gv_networks.dta
prx_5km,sharew8_rel9-0-0_gv_networks.dta
prx_1km,sharew8_rel9-0-0_gv_networks.dta
contact_mean,sharew8_rel9-0-0_gv_networks.dta
most_contact,sharew8_rel9-0-0_gv_networks.dta
contact_daily,sharew8_rel9-0-0_gv_networks.dta
contact_week,sharew8_rel9-0-0_gv_networks.dta
spouse_contact,sharew8_rel9-0-0_gv_networks.dta
fam_contact,sharew8_rel9-0-0_gv_networks.dta
child_contact,sharew8_rel9-0-0_gv_networks.dta
sibling_contact,sharew8_rel9-0-0_gv_networks.dta
parent_contact,sharew8_rel9-0-0_gv_networks.dta
friend_contact,sharew8_rel9-0-0_gv_networks.dta
formal_contact,sharew8_rel9-0-0_gv_networks.dta
other_contact,sharew8_rel9-0-0_gv_networks.dta
close_mean,sharew8_rel9-0-0_gv_networks.dta
most_close,sharew8_rel9-0-0_gv_networks.dta
close_very,sharew8_rel9-0-0_gv_networks.dta
year_mean,sharew8_rel9-0-0_gv_networks.dta
fin_gave,sharew8_rel9-0-0_gv_networks.dta
snfin_gave,sharew8_rel9-0-0_gv_networks.dta
fin_received,sharew8_rel9-0-0_gv_networks.dta
snfin_received,sharew8_rel9-0-0_gv_networks.dta
gift_received,sharew8_rel9-0-0_gv_networks.dta
sngift_received,sharew8_rel9-0-0_gv_networks.dta
gift_gave,sharew8_rel9-0-0_gv_networks.dta
sngift_gave,sharew8_rel9-0-0_gv_networks.dta
outhh_receive_care,sharew8_rel9-0-0_gv_networks.dta
outhh_snreceive_care,sharew8_rel9-0-0_gv_networks.dta
outhh_gave_care,sharew8_rel9-0-0_gv_networks.dta
outhh_sngave_care,sharew8_rel9-0-0_gv_networks.dta
hh_gave_care,sharew8_rel9-0-0_gv_networks.dta
hh_sngave_care,sharew8_rel9-0-0_gv_networks.dta
hh_receive_care,sharew8_rel9-0-0_gv_networks.dta
hh_snreceive_care,sharew8_rel9-0-0_gv_networks.dta
w8_sn_mentioned_before_1,sharew8_rel9-0-0_gv_networks.dta
w8_sn_mentioned_before_2,sharew8_rel9-0-0_gv_networks.dta
w8_sn_mentioned_before_3,sharew8_rel9-0-0_gv_networks.dta
w8_sn_mentioned_before_4,sharew8_rel9-0-0_gv_networks.dta
w8_sn_mentioned_before_5,sharew8_rel9-0-0_gv_networks.dta
w8_sn_mentioned_before_6,sharew8_rel9-0-0_gv_networks.dta
w8_sn_mentioned_before_7,sharew8_rel9-0-0_gv_networks.dta
w8_sn_w6_position_1,sharew8_rel9-0-0_gv_networks.dta
w8_sn_w6_position_2,sharew8_rel9-0-0_gv_networks.dta
w8_sn_w6_position_3,sharew8_rel9-0-0_gv_networks.dta
w8_sn_w6_position_4,sharew8_rel9-0-0_gv_networks.dta
w8_sn_w6_position_5,sharew8_rel9-0-0_gv_networks.dta
w8_sn_w6_position_6,sharew8_rel9-0-0_gv_networks.dta
w8_sn_w6_position_7,sharew8_rel9-0-0_gv_networks.dta
w8_sn_w4_position_1,sharew8_rel9-0-0_gv_networks.dta
w8_sn_w4_position_2,sharew8_rel9-0-0_gv_networks.dta
w8_sn_w4_position_3,sharew8_rel9-0-0_gv_networks.dta
w8_sn_w4_position_4,sharew8_rel9-0-0_gv_networks.dta
w8_sn_w4_position_5,sharew8_rel9-0-0_gv_networks.dta
w8_sn_w4_position_6,sharew8_rel9-0-0_gv_networks.dta
w8_sn_w4_position_7,sharew8_rel9-0-0_gv_networks.dta
w6_sn_mentioned_again_1,sharew8_rel9-0-0_gv_networks.dta
w6_sn_mentioned_again_2,sharew8_rel9-0-0_gv_networks.dta
w6_sn_mentioned_again_3,sharew8_rel9-0-0_gv_networks.dta
w6_sn_mentioned_again_4,sharew8_rel9-0-0_gv_networks.dta
w6_sn_mentioned_again_5,sharew8_rel9-0-0_gv_networks.dta
w6_sn_mentioned_again_6,sharew8_rel9-0-0_gv_networks.dta
w6_sn_mentioned_again_7,sharew8_rel9-0-0_gv_networks.dta
