column,file_name,is_valid
ep074_11,sharew6_rel9-0-0_ep.dta,True
ep074_12,sharew6_rel9-0-0_ep.dta,True
ep074_13,sharew6_rel9-0-0_ep.dta,True
ep078e_1,sharew6_rel9-0-0_ep.dta,True
ep078e_2,sharew6_rel9-0-0_ep.dta,True
ep078e_3,sharew6_rel9-0-0_ep.dta,True
ep078e_4,sharew6_rel9-0-0_ep.dta,True
ep078e_5,sharew6_rel9-0-0_ep.dta,True
ep078e_6,sharew6_rel9-0-0_ep.dta,True
ep078e_7,sharew6_rel9-0-0_ep.dta,True
ep078e_8,sharew6_rel9-0-0_ep.dta,True
ep078e_9,sharew6_rel9-0-0_ep.dta,True
ep078e_10,sharew6_rel9-0-0_ep.dta,True
ep078e_11,sharew6_rel9-0-0_ep.dta,True
ep078e_12,sharew6_rel9-0-0_ep.dta,True
ep078e_13,sharew6_rel9-0-0_ep.dta,True
ep078ub_1,sharew6_rel9-0-0_ep.dta,True
ep078ub_2,sharew6_rel9-0-0_ep.dta,True
ep078ub_3,sharew6_rel9-0-0_ep.dta,True
ep078ub_4,sharew6_rel9-0-0_ep.dta,True
ep078ub_5,sharew6_rel9-0-0_ep.dta,True
ep078ub_6,sharew6_rel9-0-0_ep.dta,True
ep078ub_7,sharew6_rel9-0-0_ep.dta,True
ep078ub_8,sharew6_rel9-0-0_ep.dta,True
ep078ub_9,sharew6_rel9-0-0_ep.dta,True
ep078ub_10,sharew6_rel9-0-0_ep.dta,True
ep078ub_11,sharew6_rel9-0-0_ep.dta,True
ep078ub_12,sharew6_rel9-0-0_ep.dta,True
ep078ub_13,sharew6_rel9-0-0_ep.dta,True
ep078v1,sharew6_rel9-0-0_ep.dta,True
ep078v2,sharew6_rel9-0-0_ep.dta,True
ep078v3,sharew6_rel9-0-0_ep.dta,True
ep081_1,sharew6_rel9-0-0_ep.dta,True
ep081_2,sharew6_rel9-0-0_ep.dta,True
ep081_3,sharew6_rel9-0-0_ep.dta,True
ep081_4,sharew6_rel9-0-0_ep.dta,True
ep081_5,sharew6_rel9-0-0_ep.dta,True
ep081_6,sharew6_rel9-0-0_ep.dta,True
ep081_7,sharew6_rel9-0-0_ep.dta,True
ep081_8,sharew6_rel9-0-0_ep.dta,True
ep081_9,sharew6_rel9-0-0_ep.dta,True
ep081_10,sharew6_rel9-0-0_ep.dta,True
ep081_11,sharew6_rel9-0-0_ep.dta,True
ep081_12,sharew6_rel9-0-0_ep.dta,True
ep081_13,sharew6_rel9-0-0_ep.dta,True
ep082e_1,sharew6_rel9-0-0_ep.dta,True
ep082e_2,sharew6_rel9-0-0_ep.dta,True
ep082e_3,sharew6_rel9-0-0_ep.dta,True
ep082e_4,sharew6_rel9-0-0_ep.dta,True
ep082e_5,sharew6_rel9-0-0_ep.dta,True
ep082e_6,sharew6_rel9-0-0_ep.dta,True
ep082e_7,sharew6_rel9-0-0_ep.dta,True
ep082e_8,sharew6_rel9-0-0_ep.dta,True
ep082e_9,sharew6_rel9-0-0_ep.dta,True
ep082e_10,sharew6_rel9-0-0_ep.dta,True
ep082e_11,sharew6_rel9-0-0_ep.dta,True
ep082e_12,sharew6_rel9-0-0_ep.dta,True
ep082e_13,sharew6_rel9-0-0_ep.dta,True
ep082ub_1,sharew6_rel9-0-0_ep.dta,True
